sourcetype,PROFILE_CODE,Classification,Flow_Type
dbx:CerillionBahamasOracle,BN03,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BN15,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,BN70,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BN72,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,B72R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,B72P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BN73,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,B73R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,B73P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BN81,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BN82,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BN83,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BN90,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,B90R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,B90P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,46,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,47,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F43P,New,WorkOrder_Flow
