hostName,queueName
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeanortelcs2k.request"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeaciscoSAANMS.error"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeacwcaaa.error"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeacalix.backup"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeabillingnotification.request"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeacwcaaa.request"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeanortelcs2k.backup"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.OrderErrorQueue"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeasqlbillingnotification.backup"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeastreamwide.backup"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeaconaxcontego.request"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.stm.ExternalSyncErrorQueue"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue com.sigma.jms.JMSStagingQueue"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeastreamwide.backup"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeamotoroladacTR.backup"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.sb.ProvReplyQueue"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.XmlResponseQueue"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeacalix.backup"
cursmp02,"JMS: WF_SVR2 JWF-JMS Queue Pending for Queue jwf.scheduler"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeaconaxcontego.backup"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeacerillionisubscribe.error"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeaconsumableresources.request"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue com.sigma.jms.JMSStagingQueue"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeaseachange.error"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeasurgemailldap.error"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.XmlResponseQueue_Grenada"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.OrderReadyQueue"
cursmp02,"JMS: WF_SVR2 JWF-JMS Queue Pending for Queue jwf.svcOrderRequest"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeamotorolaacc4000.error"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeamotorolaacc4000.backup"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue com.sigma.jms.samp.ordermgr.WHXmlRequestQueue"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.stm.SSNBatchErrorQueue"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeamotoroladacCU.error"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeasqlbillingnotification.error"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeamotoroladacTR.error"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeamiddleware.error"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeaseachange.request"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeaconsumableresources.request"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeamotoroladacJM.backup"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeacalix.error"
cursmp01,"JMS: WF_SVR1 JWF-JMS Queue Pending for Queue jwf.scheduler"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeasafari.backup"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeamotoroladacGR.error"
cursmp02,"JMS: SMP2_SVR SMP-JMS Current Consumer Count for Queue samp.ordermgr.XmlResponseQueue_Trinidad"
cursmp02,"JMS: SMP2_SVR SMP-JMS Current Consumer Count for Queue samp.ordermgr.XmlResponseQueue_Jamaica"
cursmp02,"JMS: SMP2_SVR SMP-JMS Current Consumer Count for Queue samp.ordermgr.XmlResponseQueue_Grenada"
cursmp02,"JMS: SMP2_SVR SMP-JMS Current Consumer Count for Queue samp.ordermgr.XmlResponseQueue_Curacao"
cursmp02,"JMS: SMP2_SVR SMP-JMS Current Consumer Count for Queue samp.ordermgr.XmlResponseQueue_Barbados"
cursmp02,"JMS: SMP2_SVR SMP-JMS Current Consumer Count for Queue samp.ordermgr.XmlResponseQueue_Bahamas"
cursmp01,"JMS: SMP1_SVR SMP-JMS Current Consumer Count for Queue samp.ordermgr.XmlResponseQueue_Trinidad"
cursmp01,"JMS: SMP1_SVR SMP-JMS Current Consumer Count for Queue samp.ordermgr.XmlResponseQueue_Jamaica"
cursmp01,"JMS: SMP1_SVR SMP-JMS Current Consumer Count for Queue samp.ordermgr.XmlResponseQueue_Grenada"
cursmp01,"JMS: SMP1_SVR SMP-JMS Current Consumer Count for Queue samp.ordermgr.XmlResponseQueue_Curacao"
cursmp01,"JMS: SMP1_SVR SMP-JMS Current Consumer Count for Queue samp.ordermgr.XmlResponseQueue_Barbados"
cursmp01,"JMS: SMP1_SVR SMP-JMS Current Consumer Count for Queue samp.ordermgr.XmlResponseQueue_Bahamas"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeamotoroladac2.backup"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeamotoroladac2.request"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeamotoroladac2.error"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jms.queue.jea.sbjeacerillionnotify.backup"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jms.queue.jea.sbjeacerillionnotify.backup"
